"pcp-dstat 4.3.2 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","undercloud-0.redhat.local",,,,"User:","root"
"Cmdline:","dstat -tcmndrylpg --nocolor --swap --tcp --output /var/log/extra/dstat.csv",,,,"Date:","03 Mar 2020 21:51:32 EST"
"system","total usage",,,,,,,,,"memory usage",,,,"net/total",,,"dsk/total",,,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"swap",,,"tcp sockets"
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","swap:used","swap:free","lis","act","syn","tim","clo"
03-03 21:51:49,0,0.125,99.996,0,0,393796,22946704,2096,1101236,589262.251,7333.692,0,0,0,0,221,208,0.890,0.470,0.190,1,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:50,0.125,0.125,99.753,0,0,394032,22946136,2096,1101568,452847.850,6532.229,0,0,0,0,241,195,0.890,0.470,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:51,0.125,0,100.002,0,0,394232,22945804,2096,1101700,260201.903,4073.061,0,0,0,0,178,147,0.820,0.460,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:52,0.125,0.125,99.617,0,0,394188,22943628,2096,1103920,2169398.787,23034.203,0,0,0,0,558,578,0.820,0.460,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:53,0,0,99.882,0,0,394144,22943364,2096,1104212,287631.847,4075.281,0,0,0,0,188,148,0.820,0.460,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:54,0.125,0,99.875,0,0,394264,22943100,2096,1104356,403832.211,6286.019,0,0,0,0,230,213,0.820,0.460,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:55,0,0.125,99.875,0,0,394088,22942476,2096,1105156,552383.210,7386.030,0,0,0,0,236,212,0.820,0.460,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:56,0,0,99.618,0.125,0,394236,22941764,2096,1105720,693994.032,8926.357,0,9183.339,0,12.999,282,254,0.760,0.460,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:57,0.125,0.125,99.882,0,0,394376,22941180,2096,1106164,345534.570,5403.400,0,0,0,0,208,188,0.760,0.460,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:58,0,0.125,99.873,0,0,394172,22940596,2096,1106952,798393.831,9745.815,0,0,0,0,278,283,0.760,0.460,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:59,0,0,99.748,0,0,394116,22940360,2096,1107228,291330.299,5240.879,0,0,0,0,267,194,0.760,0.460,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:52:00,0,0,99.981,0,0,394232,22940084,2096,1107388,159326.206,3483.349,0,0,0,0,154,133,0.760,0.460,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:52:01,0.375,0.375,98.998,0.500,0,395432,22937964,2096,1108308,1225952.159,14011.762,0,50691.138,0,174.997,537,577,0.700,0.450,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:52:02,0.125,0,99.770,0,0,395464,22936476,2096,1109748,1203990.818,12777.619,0,0,0,0,381,407,0.700,0.450,0.180,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:52:03,0.125,0.375,99.497,0,0,395344,22933956,2096,1112372,2715959.385,27801.277,0,843.978,0,36.999,701,816,0.700,0.450,0.180,0,0,0,0,0,0,0,2,4,0,10,0
03-03 21:52:04,0,0,99.851,0,0,395716,22933156,2096,1112800,646165.859,7400.246,0,0,0,0,242,230,0.700,0.450,0.180,0,0,0,0,0,0,0,2,4,0,10,0
03-03 21:52:05,0.250,0.125,99.777,0,0,395316,22932340,2096,1114016,1038492.547,11120.047,0,0,0,0,340,336,0.700,0.450,0.180,0,0,0,0,0,0,0,2,4,0,10,0
03-03 21:52:06,0.125,0,99.749,0,0,395852,22931296,2096,1114524,739789.561,8312.950,0,40.000,0,9.000,352,341,0.640,0.440,0.180,0,0,3.000,0,0,0,0,2,4,0,10,0
03-03 21:52:07,0,0.250,99.612,0.250,0,395244,22931460,2096,1114952,206448.749,4352.425,0,30272.004,0,58.992,447,237,0.640,0.440,0.180,0,0,0,0,0,0,0,2,4,0,3,0
03-03 21:52:08,0.250,0,99.758,0,0,395224,22930316,2096,1116116,1205756.638,12197.927,0,0,0,0,331,357,0.640,0.440,0.180,0,0,0,0,0,0,0,2,4,0,3,0
03-03 21:52:09,0,0.250,99.739,0,0,395744,22928576,2096,1117336,1410947.029,14784.418,0,0,0,0,369,423,0.640,0.440,0.180,0,0,0,0,0,0,0,2,4,0,3,0
03-03 21:52:10,0.125,0,99.888,0,0,395228,22928340,2096,1118072,606189.017,7650.010,0,0,0,0,606,273,0.640,0.440,0.180,0,0,0,0,0,0,0,2,4,0,3,0
03-03 21:52:11,0.250,0.125,99.619,0,0,395404,22925840,2096,1120396,2383133.545,24056.653,0,0,0,0,551,672,0.590,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:12,0.625,0.500,98.620,0.125,0,395312,22919256,2096,1127040,6916240.020,66008.832,0,25334.784,0,34.998,1369,1816,0.590,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:13,0.250,0.125,99.507,0,0,395600,22916336,2096,1129672,2725840.631,27864.867,0,0,0,0,611,810,0.590,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:14,0,0.125,99.878,0,0,395580,22915664,2096,1130364,919494.665,10839.314,0,0,0,0,289,296,0.590,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:15,0,0.125,99.869,0,0,395548,22915076,2096,1130968,415198.258,6062.624,0,0,0,0,223,181,0.590,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:16,0.250,0.125,99.631,0,0,395576,22912620,2096,1133396,2678489.352,29754.726,0,0,0,0,690,771,0.540,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:17,0.125,0.125,99.234,0.250,0,395712,22910532,2096,1135332,1828760.885,21529.620,0,37062.181,0,49.992,637,596,0.540,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:18,0.625,0.125,99.379,0,0,395576,22905772,2096,1140212,5056901.390,51857.178,0,0,0,0,1027,1407,0.540,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:19,0.500,0.125,99.510,0,0,395804,22902648,2096,1143108,3144932.073,32807.412,0,0,0,0,648,882,0.540,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:20,0,0.125,99.728,0,0,395360,22902228,2096,1143956,730128.721,9126.946,0,0,0,0,287,267,0.540,0.430,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:21,0.125,0.125,99.896,0,0,395604,22900968,2096,1144972,1068674.284,12642.630,0,0,0,0,337,356,0.500,0.420,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:22,0.125,0,99.752,0,0,395896,22899392,2096,1146256,1591207.189,16815.404,0,5432.130,0,7.000,426,475,0.500,0.420,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:23,0,0.125,99.746,0,0,395448,22898696,2096,1147384,874714.638,9079.591,0,0,0,0,291,275,0.500,0.420,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:24,0,0,99.756,0,0,395680,22898388,2096,1147460,261314.201,3795.235,0,0,0,0,182,151,0.500,0.420,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:25,0.125,0.125,99.868,0,0,395728,22897024,2096,1148760,1149492.984,12016.195,0,0,0,0,345,345,0.500,0.420,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:26,0.250,0.250,99.609,0,0,395560,22895204,2096,1150748,2129598.875,21426.507,0,0,0,0,509,651,0.460,0.410,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:27,0.250,0,99.771,0,0,395560,22894132,2096,1151820,1033567.183,10522.252,0,2388.511,0,4.001,326,306,0.460,0.410,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:28,0.500,0.375,98.866,0,0,396348,22882324,2096,1162824,11942268.254,105570.393,0,0,0,0,2178,2696,0.460,0.410,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:29,0.750,0.250,99.255,0,0,395476,22880124,2096,1165864,2622822.650,26275.209,0,0,0,0,619,734,0.460,0.410,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:30,0.625,0.375,98.621,0,0,395872,22870904,2096,1174672,9134569.214,87158.252,0,0,0,0,1611,2380,0.460,0.410,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:31,0,0,99.755,0,0,395804,22870336,2096,1175292,666292.315,8822.441,0,0,0,0,255,262,0.420,0.400,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:32,1.500,0.750,97.867,0.125,0,395668,22852944,2096,1192772,18219451.127,172804.139,0,3551.695,0,6.999,3142,4690,0.420,0.400,0.180,1,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:33,1.375,0.875,97.751,0,0,395448,22836532,2096,1209372,17106483.639,157817.947,0,0,0,0,3129,4523,0.420,0.400,0.180,0,0,0,0,0,0,0,2,4,0,0,0
03-03 21:52:34,7.125,0.750,91.750,0,0,411672,22816884,2096,1212780,3506682,32065,0,3318,0,226,1428,1213,0.420,0.400,0.180,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:35,12.124,0.375,87.494,0,0,411952,22816604,2096,1212780,103.992,0,0,0,0,0,1184,286,0.420,0.400,0.180,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:36,10.125,1.250,87.502,1.375,0,418528,22807580,2096,1214968,52.001,0,2764.072,8220.214,580.015,940.024,4142,5931,0.470,0.410,0.180,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:37,10.249,0.750,87.363,1.375,0,414720,22811304,2096,1215052,103.986,0,7.999,19482.370,2.000,1667.775,4407,6123,0.470,0.410,0.180,2,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:38,11.751,0.875,87.508,0,0,419892,22806128,2096,1215056,52.005,0,0,0,0,0,1216,353,0.470,0.410,0.180,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:39,11.125,1.125,87.497,0.125,0,421160,22784800,2096,1233816,103.996,0,115.996,1550.943,28.999,204.992,1730,1338,0.470,0.410,0.180,0,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:40,11.001,1.500,87.511,0.250,0,422580,22760016,2096,1256032,52.006,0,12.001,4526.561,3.000,787.098,2655,3121,0.470,0.410,0.180,1,0,3.000,0,0,0,0,2,1,0,3,0
03-03 21:52:41,11.125,1.125,87.498,0,0,422400,22738064,2096,1276824,103.998,0,0,1805.958,0,274.994,1752,1478,0.510,0.420,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:42,11.624,0.750,87.619,0.125,0,422976,22701932,2096,1311608,51.997,0,15.999,11596.246,4.000,199.987,1630,1069,0.510,0.420,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:43,9.375,2.875,87.248,0.125,0,498472,22579088,2096,1356100,103.997,0,91.998,10813.708,18.999,351.990,1980,1630,0.510,0.420,0.190,1,0,6.000,0,0,0,0,2,1,0,3,0
03-03 21:52:44,6.376,6.126,87.137,0.125,0,439752,22644308,2096,1348108,52.007,0,0,6915.968,0,313.044,2235,895,0.510,0.420,0.190,1,0,7.001,0,0,0,0,2,1,0,3,0
03-03 21:52:45,11.750,0.750,87.373,0,0,564016,22520036,2096,1348100,103.998,0,0,0,0,0,1296,527,0.510,0.420,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:46,12.126,0.250,87.511,0,0,612568,22471484,2096,1348100,52.006,0,0,0,0,0,1170,255,0.550,0.430,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:47,12.625,0.125,87.247,0.125,0,612708,22471344,2096,1348100,103.996,0,0,10187.613,0,17.999,1099,105,0.550,0.430,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:48,12.500,0.250,87.503,0,0,620224,22463828,2096,1348100,52.002,0,0,0,0,0,1077,69,0.550,0.430,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:49,12.500,0,87.498,0,0,620224,22463828,2096,1348100,103.998,0,0,0,0,0,1074,70,0.550,0.430,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:50,12.626,0,87.379,0,0,620412,22463636,2096,1348104,52.002,0,0,0,0,0,1091,98,0.550,0.430,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:51,12.500,0,87.500,0,0,620412,22463636,2096,1348104,104.000,0,0,0,0,0,1071,71,0.590,0.440,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:52,12.372,0,87.478,0,0,620412,22463636,2096,1348104,51.987,0,0,0,0,0,1084,81,0.590,0.440,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:53,12.627,0,87.392,0,0,620412,22463636,2096,1348104,104.020,0,0,11202.151,0,17.003,1117,101,0.590,0.440,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:54,12.376,0.125,87.381,0,0,626572,22457476,2096,1348104,52.004,0,0,0,0,0,1086,85,0.590,0.440,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:55,12.375,0.125,87.498,0,0,639404,22444644,2096,1348104,103.998,0,0,0,0,0,1074,72,0.590,0.440,0.190,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:56,12.500,0,87.497,0,0,643380,22440668,2096,1348104,51.998,0,0,0,0,0,1074,71,0.620,0.450,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:57,12.373,0.125,87.489,0,0,644680,22446932,2096,1340508,103.986,0,0,1101.856,0,27.996,1136,153,0.620,0.450,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:52:58,10.619,1.749,87.324,0.125,0,440652,22669148,2096,1322320,51.970,0,0,24345.806,0,39.977,1374,318,0.620,0.450,0.200,1,0,4.997,0,0,0,0,2,1,0,3,0
03-03 21:52:59,0.250,12.385,87.193,0,0,458776,22651376,2096,1322180,104.081,0,0,0,0,0,1745,411,0.620,0.450,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:00,0,12.371,87.344,0,0,428892,22679460,2096,1322184,51.982,0,0,0,0,0,1657,460,0.620,0.450,0.200,1,0,1.000,0,0,0,0,2,1,0,3,0
03-03 21:53:01,10.377,2.500,87.265,0,0,538996,22542888,2096,1349216,104.018,0,20.003,0,2.000,0,1554,614,0.650,0.460,0.200,1,0,10.002,0,0,0,0,2,1,0,3,0
03-03 21:53:02,12.125,0.375,87.498,0,0,615072,22466812,2096,1349216,51.999,0,0,0,0,0,1229,374,0.650,0.460,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:03,12.374,0,86.742,0.375,0,614760,22466816,2096,1349328,271.975,197.982,0,50887.267,0,69.993,1235,191,0.650,0.460,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:04,13.002,0.125,87.263,0.125,0,622276,22459300,2096,1349328,52.008,0,0,5275.791,0,306.046,1207,209,0.650,0.460,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:05,12.501,0.125,87.504,0,0,622580,22458996,2096,1349328,104.005,0,0,0,0,0,1101,86,0.650,0.460,0.200,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:06,12.375,0,87.249,0,0,622548,22459028,2096,1349328,52.000,0,0,0,0,0,1084,91,0.680,0.470,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:07,12.625,0,87.497,0,0,622548,22459028,2096,1349328,103.996,0,0,0,0,0,1079,74,0.680,0.470,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:08,12.625,0.125,87.500,0.125,0,622548,22459028,2096,1349328,136.000,144.000,0,9496.028,0,24.000,1117,99,0.680,0.470,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:09,12.502,0,87.262,0,0,622548,22459028,2096,1349328,104.015,0,0,0,0,0,1081,70,0.680,0.470,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:10,12.625,0,87.498,0,0,626212,22455364,2096,1349328,51.999,0,0,0,0,0,1085,90,0.680,0.470,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:11,12.250,0.250,87.498,0,0,640560,22441016,2096,1349328,103.998,0,0,0,0,0,1073,69,0.700,0.480,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:12,12.375,0.125,87.498,0,0,644564,22437012,2096,1349328,51.999,0,0,0,0,0,1081,77,0.700,0.480,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:13,12.499,0.625,85.495,1.125,0,651528,22429904,2096,1349472,193.988,41.997,0,105141.481,0,657.959,2098,1034,0.700,0.480,0.210,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:14,12.118,0.750,87.453,0,0,678608,22394180,2096,1358116,141.923,89.951,0,16878.835,0,18.990,1343,196,0.700,0.480,0.210,1,0,0.999,0,0,0,0,2,1,0,3,0
03-03 21:53:15,2.626,10.005,87.172,0,0,667688,22404536,2096,1358632,194.105,90.049,0,4.002,0,1.001,2368,525,0.700,0.480,0.210,1,0,3.002,0,0,0,0,2,1,0,3,0
03-03 21:53:16,0.125,12.502,87.512,0,0,667980,22404244,2096,1358632,52.007,0,0,0,0,0,1676,361,0.730,0.490,0.220,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:17,7.124,7.124,85.360,0.250,0,432872,22666096,2096,1331616,103.981,0,87.984,3368.394,7.999,444.920,4183,4025,0.730,0.490,0.220,1,0,47.991,0,0,0,0,2,1,0,3,0
03-03 21:53:18,11.001,1.000,87.387,0.250,0,433184,22637516,2096,1359964,52.007,0,0,2635.353,0,550.074,2083,2122,0.730,0.490,0.220,1,0,3.000,0,0,0,0,2,1,0,3,0
03-03 21:53:19,11.250,1.125,87.500,0.125,0,433148,22599728,2096,1397864,104.000,0,76.000,2508.008,4.000,461.001,2039,1694,0.730,0.490,0.220,1,0,5.000,0,0,0,0,2,1,0,3,0
03-03 21:53:20,11.624,0.750,87.615,0,0,433544,22558308,2096,1438872,51.994,0,11.999,760.917,3.000,115.987,1480,759,0.730,0.490,0.220,1,0,2.000,0,0,0,0,2,1,0,3,0
03-03 21:53:21,10.375,1.750,87.499,0.250,0,434132,22541464,2096,1454668,193.998,89.999,0,4637.954,0,798.992,2885,3267,0.750,0.500,0.220,1,0,2.000,0,0,0,0,2,1,0,3,0
03-03 21:53:22,10.375,1.750,87.750,0.375,0,435216,22525108,2096,1468928,52.000,0,112.001,8887.044,28.000,1103.006,3127,3980,0.750,0.500,0.220,2,0,2.000,0,0,0,0,2,1,0,3,0
03-03 21:53:23,10.125,2.000,87.376,0.125,0,436408,22510092,2096,1481032,104.001,0,228.002,3674.037,57.001,493.005,2395,2253,0.750,0.500,0.220,1,0,5.000,0,0,0,0,2,1,0,3,0
03-03 21:53:24,10.375,1.875,87.627,0.250,0,509696,22420876,2096,1495804,52.001,0,3452.086,2646.066,104.003,457.011,2301,2283,0.750,0.500,0.220,1,0,5.000,0,0,0,0,2,1,0,3,0
03-03 21:53:25,10.124,2.375,87.370,0,0,588348,22303896,2096,1531980,103.994,0,8.000,12813.257,1.000,256.985,1362,342,0.750,0.500,0.220,1,0,1.000,0,0,0,0,2,1,0,3,0
03-03 21:53:26,9.500,2.875,87.376,0,0,543116,22356248,2096,1523852,52.001,0,0,1625.026,0,52.001,1569,489,0.770,0.510,0.230,1,0,4.000,0,0,0,0,2,1,0,3,0
03-03 21:53:27,11.125,1.750,87.376,0,0,482020,22444736,2096,1496584,104.001,0,0,8478.059,0,14.000,1393,391,0.770,0.510,0.230,1,0,5.000,0,0,0,0,2,1,0,3,0
03-03 21:53:28,10.000,2.875,87.250,0.125,0,514012,22384900,2096,1523712,52.000,0,0,7733.969,0,447.998,1733,433,0.770,0.510,0.230,1,0,1.000,0,0,0,0,2,1,0,3,0
03-03 21:53:29,10.125,2.250,87.501,0,0,588892,22300940,2096,1532560,104.001,0,0,9137.064,0,34.000,1287,321,0.770,0.510,0.230,1,0,1.000,0,0,0,0,2,1,0,3,0
03-03 21:53:30,9.495,2.749,87.453,0,0,555272,22343724,2096,1523616,51.972,0,0,1258.323,0,41.977,1479,454,0.770,0.510,0.230,1,0,3.998,0,0,0,0,2,1,0,3,0
03-03 21:53:31,11.006,1.751,87.297,0,0,490648,22435440,2096,1496584,104.056,0,0,8478.595,0,14.008,1361,392,0.790,0.520,0.230,1,0,5.003,0,0,0,0,2,1,0,3,0
03-03 21:53:32,10.000,2.625,87.374,0,0,524348,22374436,2096,1523712,51.999,0,0,3245.951,0,141.998,1374,410,0.790,0.520,0.230,1,0,1.000,0,0,0,0,2,1,0,3,0
03-03 21:53:33,10.125,2.375,87.376,0,0,589520,22300444,2096,1532480,272.002,90.001,0,9129.055,0,34.000,1283,329,0.790,0.520,0.230,1,0,1.000,0,0,0,0,2,1,0,3,0
03-03 21:53:34,9.750,2.750,87.375,0,0,443548,22455220,2096,1523712,52.000,0,0,4121.979,0,165.999,1548,532,0.790,0.520,0.230,1,0,5.000,0,0,0,0,2,1,0,3,0
03-03 21:53:35,9.745,2.873,87.328,0,0,579136,22319404,2096,1523940,103.944,0,0,654.645,0,20.989,1244,318,0.790,0.520,0.230,1,0,0,0,0,0,0,2,1,0,3,0
03-03 21:53:36,10.631,1.751,87.299,0,0,515132,22410892,2096,1496584,52.029,0,0,8488.728,0,14.008,1398,390,0.810,0.520,0.230,1,0,5.003,0,0,0,0,2,1,0,3,0
03-03 21:53:37,10.249,2.250,87.617,0,0,540552,22358152,2096,1523712,103.991,0,0,1231.890,0,38.997,1298,370,0.810,0.520,0.230,1,0,1.000,0,0,0,0,2,1,0,0,0
03-03 21:53:38,9.630,3.001,87.542,0,0,543256,22354448,2096,1524340,136.065,136.065,0,9137.386,0,35.017,1347,350,0.810,0.520,0.230,1,0,3.001,0,0,0,0,2,1,0,0,0
03-03 21:53:39,10.115,2.498,87.288,0,0,566316,22323260,2096,1532568,103.897,0,0,1270.741,0,42.957,1387,457,0.810,0.520,0.230,1,0,2.997,0,0,0,0,2,1,0,0,0
03-03 21:53:40,10.631,2.251,87.424,0,0,502084,22417400,2096,1503132,52.029,0,0,934.528,0,53.030,1370,392,0.810,0.520,0.230,1,0,4.002,0,0,0,0,2,1,0,0,0
03-03 21:53:41,10.125,2.375,87.377,0,0,483668,22442364,2096,1496596,104.003,0,0,1235.033,0,42.001,1454,461,0.820,0.530,0.240,1,0,5.000,0,0,0,0,2,1,0,0,0
03-03 21:53:42,10.128,2.501,87.280,0,0,546788,22350456,2096,1525236,52.018,0,0,1280.435,0,45.015,1339,391,0.820,0.530,0.240,1,0,4.001,0,0,0,0,2,1,0,0,0
